Age,US Fixed Income,US Large Cap Equities,Intl Large Cap Equities,REIT
1,0.2,0.4,0.32,0.08
2,0.2,0.4,0.32,0.08
3,0.2,0.4,0.32,0.08
4,0.2,0.4,0.32,0.08
5,0.2,0.4,0.32,0.08
6,0.2,0.4,0.32,0.08
7,0.2,0.4,0.32,0.08
8,0.2,0.4,0.32,0.08
9,0.2,0.4,0.32,0.08
10,0.2,0.4,0.32,0.08
11,0.2,0.4,0.32,0.08
12,0.2,0.4,0.32,0.08
13,0.2,0.4,0.32,0.08
14,0.2,0.4,0.32,0.08
15,0.2,0.4,0.32,0.08
16,0.2,0.4,0.32,0.08
17,0.2,0.4,0.32,0.08
18,0.2,0.4,0.32,0.08
19,0.2,0.4,0.32,0.08
20,0.2,0.4,0.32,0.08
21,0.2,0.4,0.32,0.08
22,0.2,0.4,0.32,0.08
23,0.2,0.4,0.32,0.08
24,0.2,0.4,0.32,0.08
25,0.4,0.3,0.24,0.06
26,0.4,0.3,0.24,0.06
27,0.4,0.3,0.24,0.06
28,0.4,0.3,0.24,0.06
29,0.4,0.3,0.24,0.06
30,0.4,0.3,0.24,0.06
31,0.4,0.3,0.24,0.06
32,0.4,0.3,0.24,0.06
33,0.4,0.3,0.24,0.06
34,0.4,0.3,0.24,0.06
35,0.4,0.3,0.24,0.06
36,0.4,0.3,0.24,0.06
37,0.4,0.3,0.24,0.06
38,0.4,0.3,0.24,0.06
39,0.4,0.3,0.24,0.06
40,0.4,0.3,0.24,0.06
41,0.4,0.3,0.24,0.06
42,0.4,0.3,0.24,0.06
43,0.4,0.3,0.24,0.06
44,0.4,0.3,0.24,0.06
45,0.4,0.3,0.24,0.06
46,0.4,0.3,0.24,0.06
47,0.4,0.3,0.24,0.06
48,0.4,0.3,0.24,0.06
49,0.4,0.3,0.24,0.06
50,0.6,0.2,0.16,0.04
51,0.6,0.2,0.16,0.04
52,0.6,0.2,0.16,0.04
53,0.6,0.2,0.16,0.04
54,0.6,0.2,0.16,0.04
55,0.6,0.2,0.16,0.04
56,0.6,0.2,0.16,0.04
57,0.6,0.2,0.16,0.04
58,0.6,0.2,0.16,0.04
59,0.6,0.2,0.16,0.04
60,0.6,0.2,0.16,0.04
61,0.6,0.2,0.16,0.04
62,0.6,0.2,0.16,0.04
63,0.6,0.2,0.16,0.04
64,0.6,0.2,0.16,0.04
65,0.6,0.2,0.16,0.04
66,0.6,0.2,0.16,0.04
67,0.6,0.2,0.16,0.04
68,0.6,0.2,0.16,0.04
69,0.6,0.2,0.16,0.04
70,0.6,0.2,0.16,0.04
71,0.6,0.2,0.16,0.04
72,0.6,0.2,0.16,0.04
73,0.6,0.2,0.16,0.04
74,0.6,0.2,0.16,0.04
75,0.8,0.1,0.08,0.02
76,0.8,0.1,0.08,0.02
77,0.8,0.1,0.08,0.02
78,0.8,0.1,0.08,0.02
79,0.8,0.1,0.08,0.02
80,0.8,0.1,0.08,0.02
81,0.8,0.1,0.08,0.02
82,0.8,0.1,0.08,0.02
83,0.8,0.1,0.08,0.02
84,0.8,0.1,0.08,0.02
85,0.8,0.1,0.08,0.02
86,0.8,0.1,0.08,0.02
87,0.8,0.1,0.08,0.02
88,0.8,0.1,0.08,0.02
89,0.8,0.1,0.08,0.02
90,0.8,0.1,0.08,0.02
91,0.8,0.1,0.08,0.02
92,0.8,0.1,0.08,0.02
93,0.8,0.1,0.08,0.02
94,0.8,0.1,0.08,0.02
95,0.8,0.1,0.08,0.02
96,0.8,0.1,0.08,0.02
97,0.8,0.1,0.08,0.02
98,0.8,0.1,0.08,0.02
99,0.8,0.1,0.08,0.02
100,0.8,0.1,0.08,0.02
