Age,Cash,Fixed Income: US,Fixed Income: Developed exUS,Equities: US,Equities: Developed exUS
1,0,0.005,0.005,0.495,0.495
2,0,0.01,0.01,0.49,0.49
3,0,0.015,0.015,0.485,0.485
4,0,0.02,0.02,0.48,0.48
5,0,0.025,0.025,0.475,0.475
6,0,0.03,0.03,0.47,0.47
7,0,0.035,0.035,0.465,0.465
8,0,0.04,0.04,0.46,0.46
9,0,0.045,0.045,0.455,0.455
10,0,0.05,0.05,0.45,0.45
11,0,0.055,0.055,0.445,0.445
12,0,0.06,0.06,0.44,0.44
13,0,0.065,0.065,0.435,0.435
14,0,0.07,0.07,0.43,0.43
15,0,0.075,0.075,0.425,0.425
16,0,0.08,0.08,0.42,0.42
17,0,0.085,0.085,0.415,0.415
18,0,0.09,0.09,0.41,0.41
19,0,0.095,0.095,0.405,0.405
20,0,0.1,0.1,0.4,0.4
21,0,0.105,0.105,0.395,0.395
22,0,0.11,0.11,0.39,0.39
23,0,0.115,0.115,0.385,0.385
24,0,0.12,0.12,0.38,0.38
25,0,0.125,0.125,0.375,0.375
26,0,0.13,0.13,0.37,0.37
27,0,0.135,0.135,0.365,0.365
28,0,0.14,0.14,0.36,0.36
29,0,0.145,0.145,0.355,0.355
30,0,0.15,0.15,0.35,0.35
31,0,0.155,0.155,0.345,0.345
32,0,0.16,0.16,0.34,0.34
33,0,0.165,0.165,0.335,0.335
34,0,0.17,0.17,0.33,0.33
35,0,0.175,0.175,0.325,0.325
36,0,0.18,0.18,0.32,0.32
37,0,0.185,0.185,0.315,0.315
38,0,0.19,0.19,0.31,0.31
39,0,0.195,0.195,0.305,0.305
40,0,0.2,0.2,0.3,0.3
41,0,0.205,0.205,0.295,0.295
42,0,0.21,0.21,0.29,0.29
43,0,0.215,0.215,0.285,0.285
44,0,0.22,0.22,0.28,0.28
45,0,0.225,0.225,0.275,0.275
46,0,0.23,0.23,0.27,0.27
47,0,0.235,0.235,0.265,0.265
48,0,0.24,0.24,0.26,0.26
49,0,0.245,0.245,0.255,0.255
50,0,0.25,0.25,0.25,0.25
51,0,0.255,0.255,0.245,0.245
52,0,0.26,0.26,0.24,0.24
53,0,0.265,0.265,0.235,0.235
54,0,0.27,0.27,0.23,0.23
55,0,0.275,0.275,0.225,0.225
56,0,0.28,0.28,0.22,0.22
57,0,0.285,0.285,0.215,0.215
58,0,0.29,0.29,0.21,0.21
59,0,0.295,0.295,0.205,0.205
60,0,0.3,0.3,0.2,0.2
61,0,0.305,0.305,0.195,0.195
62,0,0.31,0.31,0.19,0.19
63,0,0.315,0.315,0.185,0.185
64,0,0.32,0.32,0.18,0.18
65,0,0.325,0.325,0.175,0.175
66,0,0.33,0.33,0.17,0.17
67,0,0.335,0.335,0.165,0.165
68,0,0.34,0.34,0.16,0.16
69,0,0.345,0.345,0.155,0.155
70,0,0.35,0.35,0.15,0.15
71,0,0.355,0.355,0.145,0.145
72,0,0.36,0.36,0.14,0.14
73,0,0.365,0.365,0.135,0.135
74,0,0.37,0.37,0.13,0.13
75,0,0.375,0.375,0.125,0.125
76,0,0.38,0.38,0.12,0.12
77,0,0.385,0.385,0.115,0.115
78,0,0.39,0.39,0.11,0.11
79,0,0.395,0.395,0.105,0.105
80,0,0.4,0.4,0.1,0.1
81,0,0.405,0.405,0.095,0.095
82,0,0.41,0.41,0.09,0.09
83,0,0.415,0.415,0.085,0.085
84,0,0.42,0.42,0.08,0.08
85,0,0.425,0.425,0.075,0.075
86,0,0.43,0.43,0.07,0.07
87,0,0.435,0.435,0.065,0.065
88,0,0.44,0.44,0.06,0.06
89,0,0.445,0.445,0.055,0.055
90,0,0.45,0.45,0.05,0.05
91,0,0.455,0.455,0.045,0.045
92,0,0.46,0.46,0.04,0.04
93,0,0.465,0.465,0.035,0.035
94,0,0.47,0.47,0.03,0.03
95,0,0.475,0.475,0.025,0.025
96,0,0.48,0.48,0.02,0.02
97,0,0.485,0.485,0.015,0.015
98,0,0.49,0.49,0.01,0.01
99,0,0.495,0.495,0.005,0.005
100,0,0.5,0.5,0,0
