Age,US Large Cap Equities,Intl Large Cap Equities,US Fixed Income,Intl Fixed Income,US Short TIPS
1,0.536,0.028,0.072,0.364,0
2,0.536,0.028,0.072,0.364,0
3,0.536,0.028,0.072,0.364,0
4,0.536,0.028,0.072,0.364,0
5,0.536,0.028,0.072,0.364,0
6,0.536,0.028,0.072,0.364,0
7,0.536,0.028,0.072,0.364,0
8,0.536,0.028,0.072,0.364,0
9,0.536,0.028,0.072,0.364,0
10,0.536,0.028,0.072,0.364,0
11,0.536,0.028,0.072,0.364,0
12,0.536,0.028,0.072,0.364,0
13,0.536,0.028,0.072,0.364,0
14,0.536,0.028,0.072,0.364,0
15,0.536,0.028,0.072,0.364,0
16,0.536,0.028,0.072,0.364,0
17,0.536,0.028,0.072,0.364,0
18,0.536,0.028,0.072,0.364,0
19,0.536,0.028,0.072,0.364,0
20,0.536,0.028,0.072,0.364,0
21,0.536,0.028,0.072,0.364,0
22,0.536,0.028,0.072,0.364,0
23,0.536,0.028,0.072,0.364,0
24,0.54,0.028,0.069,0.363,0
25,0.54,0.028,0.069,0.363,0
26,0.54,0.028,0.069,0.363,0
27,0.54,0.028,0.069,0.363,0
28,0.54,0.028,0.069,0.363,0
29,0.541,0.029,0.068,0.362,0
30,0.541,0.029,0.068,0.362,0
31,0.541,0.029,0.068,0.362,0
32,0.541,0.029,0.068,0.362,0
33,0.541,0.029,0.068,0.362,0
34,0.54,0.029,0.068,0.363,0
35,0.54,0.029,0.068,0.363,0
36,0.54,0.029,0.068,0.363,0
37,0.54,0.029,0.068,0.363,0
38,0.54,0.029,0.068,0.363,0
39,0.535,0.031,0.074,0.36,0
40,0.535,0.031,0.074,0.36,0
41,0.535,0.031,0.074,0.36,0
42,0.535,0.031,0.074,0.36,0
43,0.535,0.031,0.074,0.36,0
44,0.49,0.054,0.126,0.33,0
45,0.49,0.054,0.126,0.33,0
46,0.49,0.054,0.126,0.33,0
47,0.49,0.054,0.126,0.33,0
48,0.49,0.054,0.126,0.33,0
49,0.446,0.077,0.177,0.3,0
50,0.446,0.077,0.177,0.3,0
51,0.446,0.077,0.177,0.3,0
52,0.446,0.077,0.177,0.3,0
53,0.446,0.077,0.177,0.3,0
54,0.4,0.1,0.231,0.269,0
55,0.4,0.1,0.231,0.269,0
56,0.4,0.1,0.231,0.269,0
57,0.4,0.1,0.231,0.269,0
58,0.4,0.1,0.231,0.269,0
59,0.354,0.12,0.28,0.238,0.008
60,0.354,0.12,0.28,0.238,0.008
61,0.354,0.12,0.28,0.238,0.008
62,0.354,0.12,0.28,0.238,0.008
63,0.354,0.12,0.28,0.238,0.008
64,0.29,0.128,0.3,0.194,0.088
65,0.29,0.128,0.3,0.194,0.088
66,0.29,0.128,0.3,0.194,0.088
67,0.29,0.128,0.3,0.194,0.088
68,0.29,0.128,0.3,0.194,0.088
69,0.204,0.154,0.354,0.136,0.152
70,0.204,0.154,0.354,0.136,0.152
71,0.204,0.154,0.354,0.136,0.152
72,0.204,0.154,0.354,0.136,0.152
73,0.204,0.154,0.354,0.136,0.152
74,0.179,0.159,0.37,0.123,0.169
75,0.179,0.159,0.37,0.123,0.169
76,0.179,0.159,0.37,0.123,0.169
77,0.179,0.159,0.37,0.123,0.169
78,0.179,0.159,0.37,0.123,0.169
79,0.179,0.159,0.37,0.123,0.169
80,0.179,0.159,0.37,0.123,0.169
81,0.179,0.159,0.37,0.123,0.169
82,0.179,0.159,0.37,0.123,0.169
83,0.179,0.159,0.37,0.123,0.169
84,0.179,0.159,0.37,0.123,0.169
85,0.179,0.159,0.37,0.123,0.169
86,0.179,0.159,0.37,0.123,0.169
87,0.179,0.159,0.37,0.123,0.169
88,0.179,0.159,0.37,0.123,0.169
89,0.179,0.159,0.37,0.123,0.169
90,0.179,0.159,0.37,0.123,0.169
91,0.179,0.159,0.37,0.123,0.169
92,0.179,0.159,0.37,0.123,0.169
93,0.179,0.159,0.37,0.123,0.169
94,0.179,0.159,0.37,0.123,0.169
95,0.179,0.159,0.37,0.123,0.169
96,0.179,0.159,0.37,0.123,0.169
97,0.179,0.159,0.37,0.123,0.169
98,0.179,0.159,0.37,0.123,0.169
99,0.179,0.159,0.37,0.123,0.169
100,0.179,0.159,0.37,0.123,0.169
